iter	Passed	Remaining
188	254	1090
189	255	1090
190	257	1089
191	258	1088
192	259	1086
193	261	1084
194	262	1083
195	263	1081
196	264	1080
197	266	1078
198	267	1076
199	268	1074
200	270	1075
201	271	1073
202	272	1071
203	274	1069
204	275	1066
205	276	1064
206	277	1062
207	278	1060
208	279	1057
209	280	1055
210	281	1053
211	283	1053
212	285	1053
213	286	1053
214	288	1053
215	289	1051
216	292	1054
217	294	1055
218	295	1054
219	297	1053
220	299	1054
221	300	1053
222	301	1051
223	302	1049
224	304	1048
225	305	1046
226	306	1044
227	308	1042
228	309	1040
229	310	1039
230	311	1038
231	313	1037
232	314	1036
233	316	1034
234	317	1033
235	318	1030
236	319	1028
237	320	1026
238	321	1024
239	322	1022
240	323	1019
241	324	1017
242	326	1016
243	327	1013
244	328	1013
245	329	1011
246	331	1009
247	332	1007
248	333	1004
249	334	1002
250	335	1000
251	336	997
252	337	995
253	338	992
254	339	990
255	340	989
256	341	987
257	342	985
258	344	984
259	345	982
260	346	980
261	347	978
262	348	976
263	349	974
264	350	973
265	351	971
266	352	968
267	353	966
268	354	964
269	355	962
270	356	960
271	358	958
272	359	956
273	360	954
274	361	952
275	362	950
276	363	948
277	364	946
278	365	944
279	366	942
280	367	940
281	368	938
282	369	936
283	370	934
284	371	932
285	373	931
286	374	929
287	375	927
288	376	925
289	377	923
290	378	921
291	379	919
292	380	917
293	381	916
294	382	914
295	383	913
296	385	911
297	386	910
298	387	909
299	389	907
300	390	906
301	391	904
302	392	902
303	393	900
304	394	898
305	395	897
306	396	895
307	397	893
308	398	891
309	399	889
310	400	888
311	402	886
312	403	885
313	404	883
314	405	882
315	406	880
316	407	878
317	408	876
318	409	875
319	411	873
320	412	871
321	413	870
322	414	868
323	415	866
324	416	865
325	418	864
326	419	862
327	420	861
328	421	859
329	422	857
330	423	856
331	424	854
332	425	852
333	426	851
334	428	849
335	429	847
336	430	846
337	431	845
338	432	843
339	433	842
340	434	840
341	435	838
342	437	837
343	438	835
344	439	833
345	440	832
346	441	830
347	442	828
348	443	826
349	444	825
350	445	823
351	447	823
352	448	821
353	449	819
354	450	818
355	451	816
356	452	814
357	453	813
358	454	811
359	455	810
360	456	808
361	457	807
362	459	805
363	460	804
364	461	802
365	462	801
366	463	799
367	464	797
368	465	796
369	466	794
370	467	792
371	468	791
372	469	789
373	470	787
374	471	786
375	472	784
376	473	782
377	474	781
378	475	779
379	477	778
380	478	776
381	479	775
382	480	773
383	481	771
384	482	770
385	483	768
386	484	766
387	485	765
388	486	763
389	487	762
390	488	760
391	489	758
392	490	757
393	491	756
394	492	754
395	493	753
396	494	751
397	495	749
398	496	748
399	497	746
400	498	745
401	499	743
402	500	742
403	502	740
404	503	739
405	504	737
406	505	736
407	506	735
408	507	733
409	508	732
410	509	730
411	511	729
412	512	727
413	513	726
414	514	724
415	515	723
416	516	722
417	517	720
418	518	719
419	519	718
420	521	716
421	522	715
422	523	713
423	524	711
424	525	710
425	526	708
426	527	707
427	528	705
428	529	704
429	530	702
430	531	701
431	532	699
432	533	698
433	534	697
434	535	695
435	536	694
436	538	693
437	539	691
438	540	690
439	541	688
440	542	687
441	543	685
442	544	684
443	545	682
444	546	681
445	547	679
446	548	678
447	549	677
448	550	675
449	551	674
450	552	673
451	553	671
452	555	670
453	556	669
454	558	668
455	559	667
456	561	666
457	562	665
458	581	685
459	583	685
460	585	684
461	587	683
462	588	682
463	592	684
464	594	683
465	597	684
466	599	683
467	601	684
468	603	682
469	604	681
470	605	680
471	608	680
472	610	679
473	611	678
474	613	677
475	614	676
476	616	675
477	617	674
478	618	673
479	620	672
480	621	670
481	623	670
482	624	668
483	626	668
484	628	667
485	629	666
486	631	665
487	633	664
488	635	663
489	636	662
490	638	661
491	639	660
492	642	660
493	644	660
494	645	658
495	647	657
496	648	656
497	650	655
498	651	654
499	652	652
500	654	651
501	655	650
502	657	649
503	659	648
504	660	647
505	662	646
506	663	645
507	667	646
508	668	645
509	672	646
510	675	646
511	676	645
512	678	644
513	680	643
514	682	642
515	683	641
516	685	640
517	687	639
518	688	638
519	689	636
520	691	635
521	692	634
522	694	633
523	696	632
524	699	632
525	706	636
526	708	636
527	714	638
528	715	637
529	719	637
530	721	637
531	722	635
532	724	634
533	726	634
534	728	632
535	729	631
536	732	631
537	734	630
538	736	629
539	738	628
540	742	629
541	743	628
542	746	628
543	749	627
544	750	626
545	751	625
546	753	623
547	754	622
548	756	621
549	757	619
550	758	618
551	760	616
552	761	615
553	763	614
554	764	612
555	765	611
556	767	610
557	768	608
558	769	607
559	771	605
560	772	604
561	773	602
562	775	601
563	777	600
564	778	599
565	779	598
566	781	596
567	782	595
568	784	593
569	785	592
570	787	591
571	788	589
572	789	588
573	791	587
574	793	586
575	794	584
576	795	583
577	796	581
578	798	580
579	799	578
580	800	577
581	801	575
582	803	574
583	807	575
584	809	574
585	810	572
586	811	571
587	812	569
588	814	568
589	815	566
590	816	564
591	817	563
592	819	562
593	822	562
594	823	560
595	824	559
596	827	558
597	828	557
598	830	556
599	833	555
600	834	554
601	836	552
602	837	551
603	838	549
604	839	548
605	840	546
606	842	545
607	843	543
608	844	542
609	845	540
610	846	539
611	848	537
612	850	536
613	851	535
614	853	534
615	854	532
616	856	531
617	857	529
618	858	528
619	860	527
620	861	525
621	862	524
622	863	522
623	865	521
624	867	520
625	868	518
626	869	517
627	870	515
628	871	514
629	872	512
630	873	510
631	874	509
632	876	507
633	877	506
634	878	505
635	880	504
636	881	502
637	883	501
638	884	499
639	885	498
640	886	496
641	887	495
642	888	493
643	889	491
644	890	490
645	892	488
646	894	488
647	896	486
648	897	485
649	898	483
650	899	482
651	900	480
652	901	479
653	902	477
654	903	476
655	904	474
656	905	472
657	906	471
658	908	469
659	909	468
660	911	467
661	912	465
662	913	464
663	914	462
664	915	461
665	917	459
666	918	458
667	919	456
668	920	455
669	921	453
670	922	452
671	923	450
672	925	449
673	926	448
674	927	446
675	928	445
676	929	443
677	930	442
678	931	440
679	933	439
680	934	437
681	935	436
682	936	434
683	938	433
684	939	432
685	940	430
686	942	429
687	943	427
688	944	426
689	945	424
690	946	423
691	947	421
692	948	420
693	949	418
694	951	417
695	952	415
696	954	414
697	955	413
698	956	411
699	957	410
700	958	408
701	959	407
702	960	405
703	961	404
704	963	403
705	964	401
706	965	400
707	966	398
708	968	397
709	969	396
710	970	394
711	971	393
712	972	391
713	974	390
714	975	388
715	976	387
716	977	385
717	978	384
718	979	382
719	980	381
720	981	379
721	983	378
722	984	377
723	985	375
724	986	374
725	987	372
726	988	371
727	989	369
728	991	368
729	992	367
730	993	365
731	995	364
732	996	362
733	998	361
734	999	360
735	1000	358
736	1001	357
737	1003	356
738	1004	354
739	1005	353
740	1006	351
741	1007	350
742	1008	349
743	1010	347
744	1011	346
745	1013	345
746	1014	343
747	1015	342
748	1017	340
749	1018	339
750	1019	337
751	1020	336
752	1021	335
753	1022	333
754	1024	332
755	1025	330
756	1028	330
757	1030	328
758	1031	327
759	1033	326
760	1034	324
761	1035	323
762	1037	322
763	1038	320
764	1039	319
765	1041	318
766	1043	317
767	1045	315
768	1046	314
769	1047	312
770	1048	311
771	1049	309
772	1050	308
773	1051	307
774	1053	305
775	1054	304
776	1055	302
777	1058	302
778	1059	300
779	1061	299
780	1062	297
781	1063	296
782	1064	295
783	1065	293
784	1066	292
785	1067	290
786	1069	289
787	1070	287
788	1072	286
789	1073	285
790	1074	283
791	1075	282
792	1076	281
793	1077	279
794	1078	278
795	1079	276
796	1081	275
797	1082	273
798	1083	272
799	1084	271
800	1086	269
801	1087	268
802	1088	267
803	1090	265
804	1091	264
805	1093	263
806	1094	261
807	1095	260
808	1096	258
809	1097	257
810	1098	256
811	1099	254
812	1101	253
813	1102	251
814	1104	250
815	1107	249
816	1109	248
817	1110	247
818	1111	245
819	1112	244
820	1113	242
821	1114	241
822	1116	240
823	1117	238
824	1118	237
825	1119	235
826	1120	234
827	1122	233
828	1123	231
829	1124	230
830	1125	228
831	1127	227
832	1128	226
833	1129	224
834	1130	223
835	1132	222
836	1133	220
837	1134	219
838	1136	218
839	1137	216
840	1139	215
841	1140	214
842	1141	212
843	1143	211
844	1146	210
845	1147	208
846	1149	207
847	1150	206
848	1151	204
849	1152	203
850	1153	201
851	1154	200
852	1155	199
853	1156	197
854	1158	196
855	1159	194
856	1160	193
857	1162	192
858	1163	190
859	1164	189
860	1165	188
861	1167	186
862	1168	185
863	1169	184
864	1170	182
865	1171	181
866	1172	179
867	1174	178
868	1176	177
869	1177	175
870	1178	174
871	1179	173
872	1180	171
873	1182	170
874	1183	169
875	1184	167
876	1186	166
877	1187	164
878	1188	163
879	1190	162
880	1191	160
881	1193	159
882	1194	158
883	1195	156
884	1196	155
885	1197	154
886	1199	152
887	1200	151
888	1201	149
889	1202	148
890	1204	147
891	1205	145
892	1206	144
893	1207	143
894	1209	141
895	1210	140
896	1211	139
897	1212	137
898	1213	136
899	1215	135
900	1216	133
901	1217	132
902	1219	130
903	1220	129
904	1221	128
905	1222	126
906	1223	125
907	1224	124
908	1225	122
909	1226	121
910	1228	119
911	1228	118
912	1230	117
913	1231	115
914	1232	114
915	1234	113
916	1235	111
917	1236	110
918	1237	109
919	1238	107
920	1239	106
921	1240	104
922	1241	103
923	1242	102
924	1243	100
925	1244	99
926	1245	98
927	1247	96
928	1248	95
929	1249	94
930	1250	92
931	1251	91
932	1252	89
933	1253	88
934	1254	87
935	1255	85
936	1256	84
937	1258	83
938	1259	81
939	1260	80
940	1260	79
941	1262	77
942	1263	76
943	1264	75
944	1265	73
945	1266	72
946	1267	70
947	1268	69
948	1269	68
949	1270	66
950	1271	65
951	1272	64
952	1274	62
953	1275	61
954	1276	60
955	1277	58
956	1278	57
957	1279	56
958	1281	54
959	1282	53
960	1283	52
961	1284	50
962	1285	49
963	1286	48
964	1287	46
965	1288	45
966	1289	43
967	1290	42
968	1291	41
969	1293	39
970	1294	38
971	1295	37
972	1296	35
973	1297	34
974	1298	33
975	1299	31
976	1300	30
977	1301	29
978	1302	27
979	1303	26
980	1304	25
981	1305	23
982	1306	22
983	1308	21
984	1309	19
985	1310	18
986	1311	17
987	1312	15
988	1313	14
989	1314	13
990	1315	11
991	1316	10
992	1317	9
993	1318	7
994	1319	6
995	1320	5
996	1322	3
997	1323	2
998	1324	1
999	1325	0
